id,category_id,technical_requirements,soft_skills,domain_knowledge,education_requirement,experience_level,project_experience
1,1,"c, design, software engineer, oop, build, computer, design patterns, software, code, java, full, test, software architecture, software engineering, command, programming","collaboration, collaborative, feedback, active, learning, work, peer",Unknown,Bachelor,Entry Level,"test, develop, code, development"
2,1,"full, software, application, agile, software development","learning agility, mentoring, time, learning, agile",Unknown,Bachelor,Unknown,"develop, development, application"
3,1,"design, software engineering, build, computer, cloud, redis, backend, full, aws, go, nosql, devops, data, github, programming","creativity, feedback, critical, learning, work",Unknown,Unknown,Unknown,Unknown
4,1,"python, software applications, software engineer, mongodb, redis, full, code, web, postgresql, go, javascript, database, software development, programming","problem, communication skills, creativity, project, growth, initiative, written, work, verbal","network, testing",Unknown,Intern,"web, code, development, testing"
5,1,"c, design, oop, security, performance, github, documentation, computer, system, software, backend, deployment, devops, azure, programming, software development, git, software developer, code, cloud, version control, frontend, software architecture, frontend development, modular, data","initiative, written, work, documentation, independent","version control systems, testing",Master,Unknown,"development, system, code, testing, deployment, develop, refactor"
6,1,"computer, software, application","responsibility, work",Unknown,Bachelor,Intern,"develop, development, application"
7,1,"design, cloud, build, security, software, performance, data","accountability, growth mindset, problem solving, responsibility, flexibility, learning, active listening, analytical, verbal, creativity, critical thinking, initiative, work, communication, emotional, teamwork, written communication, presentation skills, growth, feedback, client, empathy, active, curiosity",Unknown,Bachelor,Entry Level,development
8,1,"python, c, computer, code, java, go, javascript, coding, swift","flexibility, work, client",Unknown,Unknown,Unknown,"code, development"
9,1,"c, software developer, system, code, web, performance, javascript, coding, integration, database, sql, documentation, programming","work, documentation",Unknown,Unknown,Mid-Level,"web, system, code, development"
10,1,"c, software engineer, computer, code, software engineering, programming","work, teamwork",testing,Unknown,Entry Level,"code, develop, development, testing"
11,1,"python, c, design, system, computer, software, code, java, programming","attention, growth, flexibility, written, verbal",network,PhD,Unknown,"develop, system, code, development"
12,1,"computer, system, security, application","growth, communication",Unknown,Unknown,Unknown,"system, development, application"
13,1,"design, typescript, build, version control, css, backend, performance, web, frontend, code, javascript, troubleshoot, functional, app, deployment, git, rest","communication skills, work","performance optimization, version control systems, testing",Unknown,Unknown,"development, code, testing, web, deployment, develop, automated, rest"
14,1,"system, computer, application, data, programming","project, responsibility, task, work, communication",Unknown,Unknown,Senior,"system, application"
15,1,"design, system, computer, test, integration","project, teamwork, analytical thinking, problem solving, time management, learning, work",Unknown,Bachelor,Senior,"test, system, development"
16,1,"full, system, software, security, application, continuous, data","growth, work, communication",network,Bachelor,Unknown,"system, development, application"
