id,category_id,technical_requirements,soft_skills,domain_knowledge,education_requirement,experience_level,project_experience
1,1,"c, design, software engineer, oop, build, computer, design patterns, software, code, java, full, test, software architecture, software engineering, command, programming","collaboration, collaborative, feedback, active, learning, work, peer",unknown,bachelor,junior,"test, develop, code, development "
2,1,"full, software, application, agile, software development","learning agility, mentoring, time, learning, agile",unknown,bachelor,unknown,"develop, development, application"
3,1,"design, software engineering, build, computer, cloud, redis, backend, full, aws, go, nosql, devops, data, github, programming","creativity, feedback, critical, learning, work",unknown,unknown,unknown,unknown
4,1,"python, software applications, software engineer, mongodb, redis, full, code, web, postgresql, go, javascript, database, software development, programming","problem, communication skills, creativity, project, growth, initiative, written, work, verbal","network, testing",unknown,junior,"web, code, development, testing"
5,1,"c, design, oop, security, performance, github, documentation, computer, system, software, backend, deployment, devops, azure, programming, software development, git, software developer, code, cloud, version control, frontend, software architecture, frontend development, modular, data","initiative, written, work, documentation, independent","version control systems, testing",master,unknown,"development, system, code, testing, deployment, develop, refactor"
6,1,"computer, software, application","responsibility, work",unknown,bachelor,junior,"develop, development, application"
7,1,"design, cloud, build, security, software, performance, data","accountability, growth mindset, problem solving, responsibility, flexibility, learning, active listening, analytical, verbal, creativity, critical thinking, initiative, work, communication, emotional, teamwork, written communication, presentation skills, growth, feedback, client, empathy, active, curiosity",unknown,bachelor,junior,development
8,1,"python, c, computer, code, java, go, javascript, coding, swift","flexibility, work, client",unknown,unknown,unknown,"code, development"
9,1,"c, software developer, system, code, web, performance, javascript, coding, integration, database, sql, documentation, programming","work, documentation",unknown,unknown,mid-level,"web, system, code, development"
10,1,"c, software engineer, computer, code, software engineering, programming","work, teamwork",testing,unknown,junior,"code, develop, development, testing"
11,1,"python, c, design, system, computer, software, code, java, programming","attention, growth, flexibility, written, verbal",network,phd,unknown,"develop, system, code, development"
12,1,"computer, system, security, application","growth, communication",unknown,unknown,unknown,"system, development, application"
13,1,"design, typescript, build, version control, css, backend, performance, web, frontend, code, javascript, troubleshoot, functional, app, deployment, git, rest","communication skills, work","performance optimization, version control systems, testing",unknown,unknown,"development, code, testing, web, deployment, develop, automated, rest"
16,1,"full, system, software, security, application, continuous, data","growth, work, communication",network,bachelor,unknown,"system, development, application"
18,1,"c, design, debugging, build, computer, design patterns, software, java, unit, application, web, programming, data, command, documentation, software development","project, debugging, time, growth, critical, flexibility, learning, work, documentation, communication",network,phd,mid-level,"development, application, web, develop, implementation, framework"
20,1,"data, continuous, documentation","communication skills, project, collaboration, collaborative, growth, time management, learning, work, documentation, analytical",unknown,phd,unknown,"develop, framework, development, implementation"
21,1,"c, design, performance, test, github, software development, programming","creativity, written communication, critical, feedback, task, attention to detail, work, analytical",unknown,unknown,mid-level,"test, develop, development"
22,1,"c, software engineer, computer, software, java, sql, programming","communication skills, project, analytical thinking, work, negotiation",unknown,unknown,junior,unknown
23,1,"c, design, java, database, sql, computer, software, javascript, software development, programming, data structures, software developer, code, web, source, algorithms, application, agile, data","problem, collaboration, time, teamwork, organization, responsibility, learning, agile, work, analytical",unknown,master,unknown,"development, code, application, web, develop"
24,1,"c, application development, software, api, application, test, software development",work,network,bachelor,junior,"test, api, development, application"
