job_title,job_description,education_requirement,experience_level,tech_requirements,soft_skills,project_experience,domain_knowledge,certifications
"software engineer, games new grad","about the job
we are looking for a recent graduate software engineer to join our engineering team together with your team, you will be crafting code that brings to life game features, items and levels in our games which are enjoyed by a community of over 40 million monthly active players this scale comes along with very interesting engineering challenges which we solve together, using a technologyagnostic approach alongside with our games, we continue to grow as software engineers and as a team
heres what youll do
build an amazing experience for the millions of users who play every day
design, implement, test and maintain our casual gaming products
write clean, sustainable code and participate in peer codereviews
you will have ownership of a primary work stream, which you will own endtoend, but youll also work in close collaboration with your fellow mobile engineers
brainstorm new ideas together with your team to continuously iterate and improve our games user experience
desired skills and experiences
university degree in computer science, software engineering, or any equivalent subject
having game projects in unity is an advantage
theres no need to have prior game development experience if you are an engineer and value a holistic and technologyagnostic approach to software engineering, wed like to hear from you
what youll learn in this role
how to develop, release and maintain high quality code
strong engineering skills and programming fundamentals
a good command of various programming languages such as c, java and handson experience of best practices and idioms of these languages
software architecture design, oop, and design patterns and principles on various scales
working at peak
fastpaced environment with a tightknit and collaborative culture
neverending learning and development opportunities
relevant conferences abroad to stay up to date with the latest industry trends
team events and trips
we support your personal and professional development with challenging projects and regular feedback
full health benefits ",bachelor,junior,"c, java, unity advantage, oop, software architecture design, design patterns","collaborative, problemsolving, communication, ownership, adaptability","game development, casual gaming products, mobile engineering, peer codereviews","software engineering, game development, mobile engineering",
softtech talent belt 2025,"about the job

softtech,
as one of the leading technology companies in turkey, since 2006, with more than 1600 employees, operating in a total of 6 different locations in türkiye and the usa
türkiye is bank
is the establishment
 the mission is to convert all customers, especially türkiye iş bankası, into digital companies using efficient and high energy ecosystems

talent belt,
it is a new graduate recruitment program that focuses on software development, which has achieved a full time and agile working environment in softtech, full of learning and development opportunities
what awaits you
 special trainings for you
mentoring program
 hackathon experience
 you can learn more than what you have learned on this journey and improve yourself
application and participation terms
 university 4th grade student or new graduate
 if you want to develop applications that create time with softtech
 if you want to be in the center of the learning world and lead technology
 if you are interested in the software world and want to develop about it, we are waiting for your application
evaluation process
 online application step
 online preliminary evaluation process
 the process of completing training from pupilica platform
 online hackerrank technical exam send
 online evaluation center authority measurement
 online learning agility inventory
 online english exam sending
 online hr  technical interview
 offer  recruitment
if you need more information, you can contact us
httpssofttechcomtr
httpsmyoutubecomsofttechas
httpsanlatsincomsofttech
httpsinstagramcomsofttechigshidymmymta2m2y",bachelor,new grad,,"communication, english proficiency, collaboration, innovation, selfmotivation",agile,,
junior software engineer,"about the job
about us
we were founded in 2017 with the motivation to reach people globally by giving them unique and unforgettable experiences with disruptive products our games have reached over 35 billion people this could only be done by gathering exceptional talent and creating a culture to enhance team spirit and creativity we are looking for passionate teammates to join our team
what youll be doing
we are looking for a passionate
backend developer
who is excited to architect and implement technology, tools and infrastructure that empower good job games
in this role, you will conceptualize and build external shared game services which are distributed, highly available, have high throughput and low latency you will also build internal services and tools that support game operations, state of the art data analysis, business intelligence and automation at scale, empowering various teams at good job games we collaborate to bring out the best in each other you will join with the hard working engineers on critical systems and youll have an opportunity to both learn, teach and grow yourself
minimum skills and experiences
bs or higher preferably in computer science, math or physics or equivalent work experience
understanding distributed, highly scalable, low latency, fault tolerant backend architecture fundamentals
knowledge of the go programming language at an entrylevel, including experience with basic go syntax and concepts such as goroutines and channels
strong engineering, design and architecture skills
experience with software engineering best practices
desired skills and experiences
familiarity with cloud systems such as aws
familiarity with nosql and inmemory databases like dynamodb, redis
familiarity with container orchestration technologies like eks, ecs, nomad
familiarity with devops and cicd tools such as jenkins, github actions
familiarity with infrastructureascode technologies like cdk, terraform, pulumi
what makes our team so unique
feedback and transparency are at the heart of everything we do
exceptional and passionate peopleteam members
every idea counts
neverending learning
we never stop asking the questions why and how
our perks
team events and trips
great food
onsite gym
full health benefits
compensation for paid military service
good job games coin program that lets you have unforgettable experiences eg going on a cruise trip to norway or seeing the northern lights
this is an onsite role in istanbul, sarıyer unfortunately, we do not offer a fullyremote working option",bachelor,junior,"backend development, distributed systems, fault tolerant systems, automation, business intelligence, aws, go, goroutines, channels, dynamodb, redis, eks, ecs, nomad, jenkins, github actions, cdk, terraform, pulumi, cicd, nosql, inmemory databases, infrastructureascode","teamwork, collaboration, eagerness to learn, communication, selfmotivation, problemsolving, structured thinking, code quality awareness, best practice mindset, software craftsmanship",,"gaming, devops",
expert system engineer,"about the job
opsin offers key delivery solutions to its customers in design, manufacturing and assembly by using advanced engineering applications with its expert staff in defense and aviation industry
we continue our work with our experienced staff consisting of different disciplines in our office in yda center it will be included in our team in line with the criteria mentioned below
specialist system engineer
we are in search
general qualities
graduating from the departments of electricalelectronics engineering of universities,
to have at least 3 years of system engineering experience,
having experience in the defense industry,
mastery of system engineering processes,
system requirement and creating system design,
to have system integration and system test experience
job description
the realization of system engineering activities of projects,
systemsubsystem requirements and determination analysis
system level responsibility in architectural design processes,
conducting requirement verification activities",bachelor,senior,"system engineering, system design, system integration, system testing, requirement analysis, architectural design, requirement verification",,,"defense, aviation",
data centre critical facilities engineer,"about the job
who are we
equinix is the worlds digital infrastructure company, operating over 260 data centers across the globe digital leaders harness equinixs trusted platform to bring together and interconnect foundational infrastructure at software speed equinix enables organizations to access all the right places, partners and possibilities to scale with agility, speed the launch of digital services, deliver worldclass experiences and multiply their value, while supporting their sustainability goals
joining our operations team means that you will be at the forefront of all we do, maintaining critical facilities infrastructure as part of a closeknit team delivering bestinclass service to our data center customers we embrace diversity in thought and contribution and are committed to providing an equitable work environment that is foundational to our core values as a company and is vital to our success
why join us
we recognize that many applicants hesitate to apply unless they meet 100 of the requirements at equinix, we value diverse experiences and backgrounds if youre excited about this role and believe it challenges you, we encourage you to apply regardless of any reservations
job summary
we are seeking a proactive team member for our istanbul il2 critical facilities team your role will involve semiroutine maintenance and repairs, coordinating with vendors, supporting site administration, completing work orders, and collaborating on infrastructure projects you will also assist senior staff, ensure vendor compliance, and manage inventory needs
responsibilities
facility maintenance perform difficult preventative and corrective maintenance on facility systems
repairs and inspections conduct difficult repairs, installations, and onsite inspections of facility components support energy efficiency measures
vendor support manage work approval processes for service providers, ensure maintenance activities follow standard procedures, and update technical files with vendors
site administration maintain site logs for permits eg, mops, identify single points of failure spofs, and manage onsite incidents, including failures and delays, support and prepare health and safety and compliance audits
incident response respond to all difficult onsite incidents, using substantial understanding of operating procedures to support site administration
collaboration collaborate with team members to resolve facility incidents, mentor on general maintenance activities, and provide inventory needs for critical parts and equipment
supervision and guidance supervise junior technical staff in operating critical infrastructures, providing instruction on daily tasks and general guidance on new assignments
change management manage change control processes for internal systems and organizational changes, ensuring proper approvals, adherence to deadlines, and minimal disruption to critical facilities operations
requirements
language skills professional proficiency in english and turkish mandatory
educational background
completed vocational training or a degree in electrical engineering, electronics engineering, energy systems engineering, mechanical engineering, or a related field
relevant certifications in electrical systems, hvac heating, ventilation, and air conditioning, or critical facility management are preferred
experience
midhighlevel knowledge of critical infrastructure like ups, generators, bms, chillers, hvac, crah units and life safety systems and handson infrastructure maintenance
experience in maintaining and managing databases for maintenance logs, ensuring accurate documentation of periodic tests on safety equipment
experience in supporting internal, external, and customer audits, providing necessary technical information and documentation related to health and safety, incident management, and maintenance management, and follow up on any identified issues or requests
customer service a selfmotivated and flexible individual who is able to communicate with customers
equinix is committed to ensuring that our employment process is open to all individuals, including those with a disability if you are a qualified candidate and need assistance or an accommodation, please let us know by completing
this form

equinix is an equal employment opportunity and, in the us, an affirmative action employer all qualified applicants will receive consideration for employment without regard to unlawful consideration of race, color, religion, creed, national or ethnic origin, ancestry, place of birth, citizenship, sex, pregnancy  childbirth or related medical conditions, sexual orientation, gender identity or expression, marital or domestic partnership status, age, veteran or military status, physical or mental disability, medical condition, genetic information, political  organizational affiliation, status as a victim or family member of a victim of crime or abuse, or any other status protected by applicable law",bachelor,senior,"ups, generators, bms, chillers, hvac, crah units, maintenance logs, change management, incident management, electrical systems, database usage","teamwork, communication, flexibility, selfmotivation, leadership, mentoring, problemsolving, english proficiency, turkish proficiency",,"critical infrastructure, facility management, health and safety",
system engineer,"about the job
we have taken our place among the largest private sector groups in turkey with the innovative approach and differences we have brought to all sectors we have taken lav, which is the 5th largest manufacturer of the world in the table glass, gca, where we carry our experience in this field to glass packaging, ali bey hotels  resorts, which operates for more than 30 years in the tourism sector, joalı maldives operating in the ultra luxury segment on maldives, joalı being, original game concept in the field of bijal we provide employment for 5 thousand people on 3 continents with our lapis yapı companies that we have implemented in avoya and these projects that we have implemented and export our products to 140 countries we represent our country internationally with our products and services that bring innovative firsts to every sector we are in
about the role
ensuring the management and safety of the data center infrastructure
ms windows server, hyperv andor vmware platforms installation, management, performance tracking and operation
planning, installation and management of backup structures
system infrastructure creation, establishing and solving problems
establishing, configuration, test and maintenance of server operating systems, applications, equipment and system management tools
implementation of safety standards and tightening policies on infrastructure and systems
taking a team member in information technologies projects, supporting other teams within the framework of the task definition
making architectural changes to strengthen the security structures in existing systems
control of events that may interrupt business continuity and taking measures to reduce the impact, preparing alternative plans
to keep critical documents up to date and report
performance tuning operations on it infrastructure
conducting backup and restore operations on it infrastructure
installation, structuring and management of it infrastructure systems
implementing it infrastructure projects
solving problems and problems related to it infrastructure
performing performance tuning operations
backup and restore critical data in terms of it infrastructure and business
designing and applying disaster recovery operations
monitoring it infrastructure and critical systems in terms of business
to carry out all these transactions on time and in the framework of corporate policies, principles and related laws
expected qualifications
preferably graduated from computer engineering, electricalelectronic engineering, mathematics, statistics or related departments of universities
it has a minimum of 5 years of experience in its field, has a high reporting skills and has an analytical perspective
who worked with manufacturers and knows how to use producer support structures
microsoft windows server 2012r22022 and its services iis, active directory, dns, dhcp, cluster at an expert level, at least 5 years experienced in active directory installation and management
microsoft hyperv and vmware virtual systems on design, development, error management and capacity planning experience
at least 5 years of experience in the management of backup software veeam and the like has worked in business continuity projects
experienced in server, storage, backup products, capacity planning, design and adaptation
experienced in implementing safety standards and tightening policies
preferably relevant microsoft or linux certificates
it has moderate or advanced english knowledge to make literature screening and receive education
human relations are strong, prone to teamwork, high written and oral communication skills
what awaits you
comprehensive special and complementary health insurance
dynamic working environment
opportunity to work with new technologies
development oriented employee experience",bachelor,senior,"microsoft windows server, iis, active directory, dns, dhcp, cluster, hyperv, vmware, veeam, backup systems, disaster recovery, capacity planning, performance tuning, it infrastructure, business continuity, monitoring, server management, storage management, security policies","analytical thinking, teamwork, communication, reporting skills, interpersonal skills, english proficiency","business continuity, capacity planning, disaster recovery",it infrastructure,"microsoft certificate, linux certificate"
data analyst,"about the job
would you like to be a part of our global team which turns dreams into reality
eti is full of opportunities for your competencies to get you in pursuit of your career join our team, apply for
data analyst
and get beyond your own limits

what is the main aim of this position
are you a data enthusiast with a passion for the fastpaced fmcg industry were seeking a talented data analyst to drive our business strategies through powerful data interpretation and visualization in this role, you will be instrumental in creating and managing dynamic dashboards using power bi, collaborating closely with stakeholders to define critical data needs, and ensuring the accuracy of our reporting you will play a vital role in identifying key trends and anomalies that shape our companys strategic  operational decisions
what we expect from you
to analyze and interpret dive deep into diverse data sources, specific to fmcg, to extract meaningful patterns and support strategic business decision
to build and manage dashboards develop and maintain interactive and insightful dashboards and reports using power bi dax,
to collaborate and communicate partner with stakeholders, including but not limited to, sales, marketing, finance and supply chain teams, to understand their data requirements and translate them into clear, actionable insights within the company
to ensure data integrity guarantee the accuracy and consistency of data across all reports and dashboards, ensuring alignment with global data standards,
to monitor and identify trends track key performance indicators kpis, and proactively identify trends and anomalies to inform and make adjustments
why you
if you hold a bachelors degree in statistics, mathematics, computer science or a related field,
 if you have proven experience with data visualization tools, specifically power bi dax,
 if you have proficiency in sql and data querying,
 if you have strong understanding of the fmcg industry, including sales, marketing, and supply chain data,
 if you have strong analytical and problemsolving skills,
 if you have excellent written and verbal communication skills, with the ability to present complex data in a clear and concise manner,
 if you have relevant certifications such as microsoft certified data analyst associate, or related data analysis or power bi certifications,
 if you have demonstrated ability to deliver results in a fastpaced fmcg environment,
 if you have a proactive and innovative mindset, with a passion for continuous learning,
 if you have experience presenting data to large groups, especially within the fmcg sector,
 if you have experience with data governance
what brings you at the front
being strongly resultoriented and making quick decisions,
being innovative and open to learning,
being a team player,
having strong analytical and problemsolving skills,
having improved presentation abilities,
having strong communication  negotiation skills,
having coordination skills,
being able to reside in istanbuleskişehir",bachelor,junior,"power bi, dax, sql, data querying, data visualization, data governance, reporting, dashboarding","analytical thinking, problemsolving, presentation skills, communication, negotiation, coordination, teamwork, continuous learning, innovation","dashboard development, stakeholder collaboration, business reporting, fmcg analytics","fmcg, sales analytics, marketing analytics, supply chain analytics","microsoft certified data analyst associate, power bi certificate"
data scientist,"about the job
are you ready to participate in a digital transformation journey at lc waikiki

with over 1300 stores around the world and our strong assets in 60 countries,
dressing well everyones right
we take a great journey by adopting his philosophy beyond the fashion world, we are also running to important goals in technology and digital transformation
lc waikiki digital transformation and information technologies department
with more than 850 experts, we shape the future by keeping innovation and cooperation in the foreground
agilescrum methodologies
we become a more efficient and dynamic team with every day
what do we offer
with our projects, we touch not only the retail world, but to every corner of the digital world if you want to be a part of this exciting journey, here are the opportunities waiting for you
agile with a team
by working together, the possibility of contributing to every stage of the development processes,
third party system integrations
with local and global projects,
with the software you have developed
giving direction to the digital transformation of lc waikiki

who are we looking for
a passionately follow up of technology, adding value to its business and seeking continuous innovation 
data scientist
were looking for a teammate
general qualities
data science or undergraduate or graduate degree in a relevant field,
minimum 2 year experience in sql and python programming language,
knowing about azure ai foundry and sap ai core vehicles,
having information or experience about llm and rag methods,
to have knowledge or experience in orchestrate the llamindex and llms and llms,
to have information or experience in prompt engineering,
modeling with libraries such as scikitlearn and tenserflow in the fields of data analysis and machine learning, having information or experience,
to have knowledge or experience in managing, distributing and maintaining the mlops processes of machine learning models,
it is prone to teamwork, has the ability to think
definition of the work
developing data models with azure ai foundry and sap ai core tools,
developing models by analyzing data sets,
to carry out data processing and model development processes with python programming language,
developing artificial intelligence projects with llm large language model and rag retrievalaugmented generation methods,
creating effective and efficient models using prompt engineering techniques,
to ensure that the projects are completed on time with the cooperation of the team,
to ensure continuous learning and development by following new technologies, especially generative ai tools and agent systems
what awaits you
istanbul giyimkent
in our modern office
hybrid working possibility,
cooperation and inclusion
a focused team culture,
opportunities to work with the latest technology and tools,
continuous training
and professional development opportunities,
discounts working in lc waikiki products
and more
come on, join
while achieving our great goals, we are enthusiastically waiting for the software developers who want to leave a mark on the digital world if this opportunity excites you, take your place on our digital transformation journey by immediately conveying your application
recruitment process
interview  technical exam
evaluation center applications
reference
offer
may vary according to position
we will carefully examine your application and contact you via telephone or email if it is appropriate",bachelor,junior,"sql, python, azure ai foundry, sap ai core, llm, rag, llamaindex, prompt engineering, scikitlearn, tensorflow, machine learning, mlops, generative ai, agent systems","teamwork, collaboration, communication, analytical thinking, continuous learning","ai projects, llmrag modeling, prompt engineering, mlops, data modeling, thirdparty system integration","retail, artificial intelligence, machine learning",
product data analyst,"about the job
we are a product data team responsible for building and maintaining data pipelines in snowflake and creating highperformance tableau dashboards to support datadriven decisionmaking we are looking for a product data analyst who can translate stakeholder needs into efficient, scalable, and insightful tableau dashboards you will be responsible for optimizing dashboard performance and ensuring data integrity, along with working closely with other data engineers and data analysts on the team
key responsibilities
 work closely with stakeholders to understand business needs and translate them into clear, actionable dashboards
 develop and maintain optimized tableau dashboards with a focus on performance and usability  query and analyze data stored in snowflake, ensuring data accuracy and relevance
 identify and resolve dashboard performance and data quality issues
 collaborate with data engineers to define and create new data sources when existing ones do not meet analytical needs
 ensure data consistency, governance, and best practices in reporting and visualization
 provide training and support to stakeholders on using dashboards effectively
 continuously iterate and improve dashboards based on feedback and evolving business requirements
required skills  experience
 1 years of experience in data analytics, business intelligence, or a related field
 strong expertise in tableau for building interactive dashboards and optimizing performance
 proficiency in sql, with experience querying large datasets in snowflake or similar data lakes
 ability to identify and resolve performance bottlenecks in tableau and database queries
 strong communication skills to engage with stakeholders, gather requirements, and present insights effectively
 experience working with data engineers to define and validate data sources
 comfortable working in a fastpaced environment with multiple stakeholders and evolving priorities
preferred qualifications
 experience with etlelt workflows and data transformation
 experience working with product analytics or customer behavior data
eeo statement
orion is an equal opportunity employer, and all qualified applicants will receive consideration for employment without regard to race, color, creed, religion, sex, sexual orientation, gender identity or expression, pregnancy, age, national origin, citizenship status, disability status, genetic information, protected veteran status, or any other characteristic protected by law",bachelor,junior,"tableau, sql, snowflake, etl, elt, data transformation, data governance, interactive dashboards, performance optimization","communication, collaboration, adaptability, stakeholder management, feedback responsiveness","dashboard development, stakeholder collaboration, data transformation, performance tuning, iterative analytics","product analytics, customer behavior",
content management system developer cms,"about the job
company description
publicis groupe turkey operates with 14 agencies under its umbrella starcom, zenith, spark, datawise, pmx, performics, publicis istanbul, leo burnett, msl, digitas, hypers productions,
publicis go, platform next, saatchi  saatchi agencies are specialized in areas such as data, performance marketing, affiliate, ecommerce, content, production, media, advertising, and pr publicis groupe turkey includes almost 500 talents and is located in istanbul
responsibilities
updated and managed content for global brand websites
upload new content and edit existing materials through cms platforms
optimize text and visual content for system compatibility
collaborate with the technical team to identify and resolve issues
ensure content aligns with seo and performance metrics
qualifications
bachelors degree in information technologies, communication, new media, or a related field preferred
basic knowledge of content management systems cms
shortterm experience 01 year with at least one cms platform, such as wordpress, adobe experience manager, joomla, first spirit, drupal, or content stack
basic understanding of html and css
strong time management and problemsolving skills
english proficiency is preferred",bachelor,new grad,"cms, wordpress, adobe experience manager, drupal, joomla, html, css, seo","time management, problemsolving, collaboration, communication","content publishing, seo optimization, cmsbased editing","digital content, advertising, media, pr",
