category_name,job_title,location,release_date,applicant_number,workplace_type,employment_type,job_description
Software Engineer,"Software Engineer, Games (New Grad)","Istanbul, Türkiye",1 week,100,On-site,Full-time,"About the job
We are looking for a recent graduate Software Engineer to join our Engineering Team. Together with your team, you will be crafting code that brings to life game features, items and levels in our games which are enjoyed by a community of over 40 million monthly active players. This scale comes along with very interesting engineering challenges which we solve together, using a technology-agnostic approach. Alongside with our games, we continue to grow as software engineers and as a team.
Here’s what you'll do
Build an amazing experience for the millions of users who play every day
Design, implement, test and maintain our casual gaming products
Write clean, sustainable code and participate in peer code-reviews
You will have ownership of a primary work stream, which you will own end-to-end, but you'll also work in close collaboration with your fellow mobile engineers
Brainstorm new ideas together with your team to continuously iterate and improve our games' user experience
Desired skills and experiences
University degree in Computer Science, Software Engineering, or any equivalent subject
Having game projects in Unity is an advantage
There’s no need to have prior game development experience. If you are an engineer and value a holistic and technology-agnostic approach to software engineering, we’d like to hear from you!
What you’ll learn in this role
How to develop, release and maintain high quality code
Strong engineering skills and programming fundamentals
A good command of various programming languages (such as C#, Java) and hands-on experience of best practices and idioms of these languages
Software architecture design, OOP, and design patterns and principles on various scales
Working at Peak
Fast-paced environment with a tight-knit and collaborative culture
Never-ending learning and development opportunities
Relevant conferences abroad to stay up to date with the latest industry trends
Team events and trips
We support your personal and professional development with challenging projects and regular feedback
Full health benefits"
Software Engineer,Softtech Talent Belt 2025,"Istanbul, Türkiye",1 week,100,Hybrid,Full-time,"About the job
🌍
Softtech,
As one of the leading technology companies in Turkey, since 2006, with more than 1600 employees, operating in a total of 6 different locations in Türkiye and the USA
Türkiye Is Bank
is the establishment.
🎯 The mission is to convert all customers, especially Türkiye İş Bankası, into digital companies using efficient and high -energy ecosystems.
🚀
Talent belt,
It is a new graduate recruitment program that focuses on software development, which has achieved a full -time and agile working environment in Softtech, full of learning and development opportunities.
What awaits you?
• Special trainings for you
Mentoring Program
• Hackathon experience
🎯 You can learn more than what you have learned on this journey and improve yourself.
Application and Participation Terms
• University 4th grade student or new graduate
• If you want to develop applications that create time with Softtech
• If you want to be in the center of the learning world and lead technology
• If you are interested in the software world and want to develop about it, we are waiting for your application!
EVALUATION PROCESS
• Online application step
• Online Preliminary Evaluation Process
• The process of completing training from Pupilica platform
• Online Hackerrank Technical Exam Send
• Online Evaluation Center Authority Measurement
• Online learning agility inventory
• Online English exam sending
• Online HR & Technical Interview
• Offer & Recruitment
If you need more information, you can contact us.
https://softtech.com.tr
https://m.youtube.com/@softtechas
https://anlatsin.com/softtech
https://instagram.com/softtech?igshid=ymmymta2m2y="
Software Engineer,Junior Software Engineer,"Istanbul, Türkiye",3 week,100,On-site,Full-time,"About the job
About us
We were founded in 2017 with the motivation to reach people globally by giving them unique and unforgettable experiences with disruptive products. Our games have reached over 3.5 billion people. This could only be done by gathering exceptional talent and creating a culture to enhance team spirit and creativity. We are looking for passionate teammates to join our team!
What you'll be doing
We are looking for a passionate
Backend Developer
who is excited to architect and implement technology, tools and infrastructure that empower Good Job Games!
In this role, you will conceptualize and build external shared game services which are distributed, highly available, have high throughput and low latency. You will also build internal services and tools that support game operations, state of the art data analysis, business intelligence and automation at scale, empowering various teams at Good Job Games. We collaborate to bring out the best in each other. You will join with the hard working engineers on critical systems and you’ll have an opportunity to both learn, teach and grow yourself.
Minimum skills and experiences
B.S. or higher preferably in Computer Science, Math or Physics (or equivalent work experience)
Understanding distributed, highly scalable, low latency, fault tolerant backend architecture fundamentals
Knowledge of the Go programming language at an entry-level, including experience with basic Go syntax and concepts such as goroutines and channels
Strong engineering, design and architecture skills
Experience with software engineering best practices
Desired skills and experiences
Familiarity with cloud systems such as AWS
Familiarity with NoSQL and in-memory databases like DynamoDB, Redis
Familiarity with container orchestration technologies like EKS, ECS, Nomad
Familiarity with DevOps and CI/CD tools such as Jenkins, Github Actions
Familiarity with infrastructure-as-code technologies like CDK, Terraform, Pulumi
What makes our team so unique
Feedback and transparency are at the heart of everything we do
Exceptional and passionate people/team members
Every idea counts
Never-ending learning
We never stop asking the questions “why” and “how”
Our Perks
Team events and trips
Great food
On-site gym
Full health benefits
Compensation for paid military service
Good Job Games Coin Program that lets you have unforgettable experiences (e.g. Going on a cruise trip to Norway or seeing the Northern Lights)
This is an on-site role in Istanbul, Sarıyer. Unfortunately, we do not offer a fully-remote working option."
Software Engineer,Junior Software Engineer,"Istanbul, Istanbul, Türkiye",1 day,100,On-site,Full-time,"About the job
About Us
Volt Lines
is a technology powered mobility platform aiming to solve urban mobility problems. We view empty seats in traffic as both the cause of the problem and its solution. There are more than 50,000 buses in Istanbul operating at 9% efficiency and we want to solve this problem. Making shuttle buses smarter, more efficient and dynamic, we create an alternative transportation network that can replace even car ownership. Companies and other institutions can benefit from the Volt Lines transportation network for the daily commute needs of their staff.
About The Role
We are looking for a Junior Software Engineer to join our team and grow your skills within a dynamic and innovative environment. This role is perfect for those eager to learn and contribute to real-world projects.
Responsibilities:
Assist in the development, testing, and maintenance of software applications
Collaborate with senior developers and team members to understand project requirements
Participate in code reviews to enhance code quality and share best practices
Document development processes and procedures to support knowledge sharing
Stay updated with emerging technologies to continually improve skills and contributions
Requirements
Basic knowledge of programming languages such as Python, JavaScript, or Go
Familiarity with full stack web development technologies (Django, Bootstrap, Vue, etc.) is a plus
Familiarity with database management systems (e.g., PostgreSQL, MongoDB, Redis)
Understanding of software development life cycle principles
Strong problem-solving skills and a willingness to learn
Good communication skills and the ability to work collaboratively in a team environment
Relevant internship or academic project experience would be an advantage
Effective communication skills in English, both written and verbal
Benefits
Innovative Environment: Volt Lines operates in a fast-growing, innovative industry, offering opportunities to work on impactful projects with cutting-edge technology
Career Growth: Volt Lines is committed to employee development, offering opportunities for career progression, training, and skill enhancement
Work-Life Balance: Volt Lines offers flexible working hours as well as a flexible paid time-off policy that promotes a healthy work-life balance
Startup Culture: Volt Lines embodies a startup environment that promotes creativity, autonomy, and innovation, providing employees with the freedom to take initiative and make decisions
Inclusive Work Culture: Volt Lines values different perspectives, backgrounds, and experiences, and fosters an inclusive workplace where everyone can thrive
Impact on Urban Mobility: Volt Lines focuses on revolutionizing urban transportation and sustainability, giving employees a chance to contribute to a purpose-driven mission
Compensation and Benefits: Volt Lines offers its employees a best-in-class equity program (RSUs), the chance to earn up to 20 salaries in a year, private health insurance, food and transportation allowances among other perks"
Software Engineer,R&D Internship Program,"Istanbul, Istanbul, Türkiye",2 week,100,No workplace info,No employment info,"About the job
Are you ready to launch your software development career and be part of something game-changing? At advanco, we do not just offer internships—we provide a launchpad for future innovators. As a global leader in life sciences technology, we develop cutting-edge solutions that protect millions of lives worldwide.
Joining us means more than just writing code —you will solve real challenges, work with the latest tech, and collaborate with industry experts. Whether you are into front-end design or back-end architecture, this is your chance to gain hands-on experience and make an impact.
If you are ambitious, tech-savvy, and ready to grow, apply now—your future starts here!
Please note that only CVs written in English will be evaluated.
Position Summary
We are seeking passionate and driven interns to join advanco’s dynamic R&D team in both Front-end and Back-end Software Developer roles.
As part of an innovative and agile-driven team, you will contribute to the development of cutting-edge software solutions, including building CI/CD pipelines for rapid cloud deployment and enhancing our on-premises solutions. This role offers a unique opportunity to contribute to the evolution of our software architecture while ensuring the continued functionality and performance of our existing products.
Responsibilities
Work closely with advanco’s Professional Services Team on development, testing, deployment, and documentation activities.
Maintain and refactor the existing codebase as needed.
Develop back-end APIs using .NET Framework/.NET (C#) for use by advanco’s applications or React for front-end development.
Qualifications / Position Requirements
Recent graduates or current third- or fourth-year students in a Bachelor’s or Master’s program in Information Systems, Computer Science, or a related field. Equivalent education or experience is also acceptable.
Ability to dedicate at least 20 hours per week (full-time preferred).
Fluency in English is required (our team is globally distributed).
Strong knowledge of .NET Framework/.NET, C#, and Object-Oriented Programming (OOP) architecture.
Experience with version control systems (Azure DevOps, Git, GitHub).
Ability to work independently, take initiative, and collaborate remotely.
Job Type:
Full-time/Hybrid
Work Location:
Istanbul, Turkey
About Us
Founded in 1981, advanco is a major player in product identification in the supply chain, using barcode and RFID technologies to prevent counterfeits in the life sciences sector. We have been focusing on customers in the pharmaceutical industry since 2008, with its first customer being Pfizer. It has established itself as a leading independent provider from Level 2 to Level 5 for regulated track and trace throughout the entire supply chain and around any ERP system.
Our Development and Support team draws on over 4 decades of experience in the supply chain sectors, arming our customers with robust, modular, and scalable serialization and aggregation software known as ARC Platform. This end-to-end solution gives pharmaceutical companies and contract manufacturing organizations (CMOs) a secure platform for product serialization.
The ARC Platform is a complete solution for the entire serialization and aggregation ecosystem, managing the master data, allocating serial numbers to the packaging lines, verifying the integrity of information submitted to the enterprise system and performing changes to aggregation hierarchies and processing of shipments with its main components of ARC MES/Cockpit, ARC LES, ARC Cloud and ARC Cold Chain
At advanco, we offer a flexible and compliant open software platform, featuring extremely high data security and world class 24/7 support. Our goal is to provide our customers with transparent security every day – so that it always contains exactly what is on the package."
Software Engineer,First Step Into Your Career - Short Term Internship Program,"Istanbul, Türkiye",5 day,100,Hybrid,Internship,"About the job
FEV about Türkiye
As Fev Group, we develop innovative and efficient driving systems with more than 7000 employees worldwide, connect vehicles to each other and the environment, and try to make life safer with smart systems.
Since 2011, we have been offering engineering solutions in the fields of vehicle development, software, autonomous driving, electrical and conventional impulsion systems in the automotive sector. In 5 cities, we work with more than 450 expert engineers with international experience in our 7 offices.
So, how do we do this? In the right place, with the right people. With people who make the vision come true, dare to push the borders, and encourage innovation. If you want to step into this world, you are in the right place!
First Step Into Your Career - Short Term Summer Internship Program
Are you ready to make a strong start to your career? If you want to get to know the automotive sector closely, to take part in innovative projects and to improve yourself by working with experts in the field,
Fev Türkiye Summer Internship Program
Just for you!
Thanks to this program, university students who are obliged to internship
During the summer period
We offer real engineering experience. Not just an internship, but also a journey to discover yourself and your potential is waiting for you!
If you are interested in the automotive world, you are excited to produce engineering solutions, don't miss this opportunity! We are waiting for your application.
Come on, take your first step and make a difference in your career! 🚀
Before applying
Being a 3rd or 4th grade undergraduate student in the departments of electrical-electronics, control and automation, mechatronics, computer and mechanical engineering of universities,
Within the scope of compulsory internship, the insurance is covered by the school,
Fev Türkiye offices can be found in the locations,
We expect English to be at least Intermediate (B1) level and above.
Steps waiting for you
Application Process ✍️
Technical and Talent Acquisition Team Interview
Settlement of teams 🚩
Internship program
Starting
🎉
Fev Values ​​in Turkey
Customer Oriented Approach:
We provide added value beyond the expectations of our customers.
Professionalism
: Thanks to our professionalism, we reach the highest quality in all areas. We are ready for the future with proactive thinking and strategic planning. 🚀
Loyalty:
We make clear arrangements and feel responsible. Together we strive for our goals. We are passionate and take responsibility.
👌
Catholicity:
We think and adapt outside the molds. We direct innovation for the future. We are curious. 👥🔗
Respect:
We trust and appreciate each other. 🤝🖇️"
Software Engineer,Onsite Engineer - Graduate,"Ankara, Ankara, Türkiye",1 month,100,Hybrid,Full-time,"About the job
This role has been designed as ‘Hybrid’ with an expectation that you will work on average 2-3 days per week from an HPE office.
Who We Are
Hewlett Packard Enterprise is the global edge-to-cloud company advancing the way people live and work. We help companies connect, protect, analyze, and act on their data and applications wherever they live, from edge to cloud, so they can turn insights into outcomes at the speed required to thrive in today’s complex world. Our culture thrives on finding new and better ways to accelerate what’s next. We know diverse backgrounds are valued and succeed here. We have the flexibility to manage our work and personal needs. We make bold moves, together, and are a force for good. If you are looking to stretch and grow your career our culture will embrace you. Open up opportunities with HPE.
Job Description
Joining HPE in a graduate role is an excellent opportunity for a self-motivated, proactive individual to grow with us and help us drive our continued success globally. You’ll be part of our Graduate Program where you will actively contribute to the company’s solutions portfolio by providing information ranging from technical knowledge to methodologies based on experience gained from customer projects. Contribute toward the technical direction and technical strategies within the organisation and for external customers.
Start Date
: May 2025
Locations
: Ankara, Türkiye
What You’ll Do
Apply growing technical knowledge to operate a technology area (e.g. server administration, technical security management, performance management) or customer group with limited risk/complexity.
Integrate technical knowledge and business understanding to create solutions for customers.
Resolve routine in-scope technical incidents independently. Work with team members to resolve more complex incidents.
Apply company solutions to meet moderately complex customer needs within area(s) of technical responsibility.
Participate in Customer Expectation management as part of escalation process.
Build relationship with management in assigned accounts.
Sets expectations with customers based on defined parameters.
What You’ll Need
Bachelor or Master’s degree completed in 2024 (preferably in Engineering/IT)
Excellent verbal and written communication skills
Excellent analytical and problem solving skills.
Software and hardware knowledge of computing, storage and peripheral devices.
Customer oriented attitude
Mastery in English and Turkish
Ability to operate effectively within a virtual (cross-cultural) team
What We’d Prefer You Bring
Experience as an active leader on campus who strives to make a positive impact on the world
Comfort with working in a virtual and face-to-face environment
Exceptional communication and presentation skills and the ability to ask smart questions
What You Can Expect From Us
Initial extensive onboarding to support you with adjusting into the role
Ongoing learning and development throughout the duration of the program
Be mentored by at least one senior member of the team and into a true professional with valuable relationships and international working experience
Competitive salary and great benefits
Great work-life balance including hybrid working and Wellness Fridays initiative
At HPE, We’re
Human Rights Campaign’s 2023-2024 Corporate Equality Index
Great Place to Work’s Best Workplace for Parents 2023
Fortune 100 Best Companies to Work For® 2024
Ethisphere World’s Most Ethical Company 2024
The Civic 50 Honoree
JUST Jobs Leader 2024
Forbes 2024 America’s Best Employers For Diversity
America's Most Just Companies 2024
Fortune Best Workplaces in Texas™ 2024
Bay Area's Best Places to Work 2024
Additional Skills
Accountability, Accountability, Active Learning (Inactive), Active Listening, Bias, Business Growth, Change Management, Client Expectations Management, Coaching, Creativity, Critical Thinking, Cross-Functional Teamwork, Customer Centric Solutions, Customer Experience (CX), Customer Feedback, Customer Lifetime Value, Customer Relationship Management (CRM), Design Thinking, Empathy, Follow-Through, Growth Mindset, Infrastructure as a Service (IaaS), Intellectual Curiosity (Inactive), Long Term Planning, Managing Ambiguity {+ 5 more}
What We Can Offer You
Health & Wellbeing
We strive to provide our team members and their loved ones with a comprehensive suite of benefits that supports their physical, financial and emotional wellbeing.
Personal & Professional Development
We also invest in your career because the better you are, the better we all are. We have specific programs catered to helping you reach any career goals you have — whether you want to become a knowledge expert in your field or apply your skills to another division.
Diversity, Inclusion & Belonging
We are unconditionally inclusive in the way we work and celebrate individual uniqueness. We know diverse backgrounds are valued and succeed here. We have the flexibility to manage our work and personal needs. We make bold moves, together, and are a force for good.
Let's Stay Connected
Follow
@HPECareers
on Instagram to see the latest on people, culture and tech at HPE.
Job
Services
Job Level
Entry
HPE is an Equal Employment Opportunity/ Veterans/Disabled/LGBT and Affirmative Action employer. We are committed to diversity and building a team that represents a variety of backgrounds, perspectives, and skills. We do not discriminate and all decisions we make are made on the basis of qualifications, merit, and business need. Our goal is to be one global diverse team that is representative of our customers, in an inclusive environment where we can continue to innovate and grow together. Please click here:
Equal Employment Opportunity
.
Hewlett Packard Enterprise is EEO F/M/Protected Veteran/ Individual with Disabilities.
HPE will comply with all applicable laws related to employer use of arrest and conviction records, including laws requiring employers to consider for employment qualified applicants with criminal histories."
Software Engineer,Coders - AI Training [Remote],"Istanbul, Türkiye",3 day,100,Remote,Full-time,"About the job
* Swift, Python, Java, Go, Verilog, Javascript, C++, or C# coding experience required
This is a great opportunity to supplement your income while looking for longer or more full-time work, all while contributing to the development of new AI models using your domain expertise!
Our client has hired over 1,000 Braintrust talent and intends to hire hundreds more!
Many Braintrust coders earn over $12,000 per month!
You’ll have the flexibility to work as much or as little as you choose - 20hrs/week is suggested, but not a limit. Start working in as little as 48 hours. Your final hourly rate will be chosen by Outlier AI and determined by your location.
What to expect:
If qualified, you’ll be invited to complete a brief questionnaire that takes 3-5 minutes. If you successfully pass the questionnaire, you’ll be approved and able to begin work ASAP.
Required qualifications:
Proficiency working one of the following languages: Swift, Python, Java, Go, Verilog, Javascript, C++, or C#
Complete fluency in the English language is required. You should be able to describe code and abstract information in a clear way.
Preferred qualifications:
Bachelor's and/or Master's degree in Computer Science or equivalent. Students are welcome.
Note
: Outlier AI is partnering with Remotasks for this opportunity"
Software Engineer,Software developer,"Istanbul, Türkiye",2 week,100,Hybrid,Full-time,"About the job
Write code for the future as a software developer at the Turkish Education Foundation!
As the Turkish Education Foundation (TEV), we have supported the education life of thousands of young people since 1967 and we illuminate the path of the young people and schools with the light of education as well as the scholarships we have provided to students all over Turkey.
Now,
With the power of technology
In our headquarters in Istanbul to expand our impact
Dynamics 365 and Power Platform
one who will work on
Software developer
We are looking!
With codes
shape the future
And
Making a difference for young people
If you want
Join our team!
About the Turkish Education Foundation
The Turkish Education Foundation (TEV), which has been strengthened by education and continued its activities with the vision of contributing to the development of generations that will lead innovation and change, was founded on May 4, 1967 by 205 Turkish intellectuals under the leadership of the late Vehbi Koç. Tev, which has been with the students who have been successful and limited to the students since its establishment, continues to work with the mission of strengthening the environment in which our Republic strengthens the environment in the second century of our Republic, to ensure access to qualified education of successful and financial means of limited financial opportunities in the field of education in the second century. TEV supports young people from its establishment to the present day by providing more than 300 thousand scholarships in Turkey and more than 2,000 scholarships abroad. The Turkish Education Foundation, which supports its contributions to education by building 35 training facilities, also took over the İnanç High School, which was established in 2001 to provide the education they needed at high school level in Turkey and continues its educational activities under the name of İnanç Türkeş Private High School (Tevitöl). In Izmir, Trabzon and Ankara, the field of activity has expanded its field of activity.
General qualities
Graduated from the relevant fields of universities,
At least 3 years of experience in the relevant field,
Dynamics 365 CRM assets, forms, workflows, panels and reports are competent in creating,
With C# plug -in development and user interface coding experience with JavaScript,
Experience in the process of creating and publishing,
Knowing about preparing technical documentation,
Preferably experienced in developing web resources, powerapp applications and powerbi reports.
Job definition
Designing and implementing complex CRM solutions using Microsoft Dynamics 365 and Power platform by analyzing customer requirements,
Developing and customizing CRM components such as assets, forms, workflows, add -ons, reports and panels,
Integration of CRM systems with external systems,
CRM SDK, C#, ASP.NET, SQL Database and Ado.net using the development processes,
Writing clean and efficient codes with programming languages ​​such as C# and JavaScript in accordance with coding standards,
Providing effective solutions in order to eliminate the problems in the CRM system and to provide high performance."
Software Engineer,Software Engineer (New Grad),"Istanbul, Türkiye",1 week,100,On-site,Full-time,"About the job
We are looking for a passionate new grad to join our team as a Software Engineer. This is an exciting opportunity to contribute to all areas of game development, including programming graphics, game logic, and user interface using Unity. It is not required to have prior game development experience since we believe a competent software engineer can develop great things in any field. You will work effectively as part of a multi-disciplinary team of engineers, artists, and game designers to create games that will be played by millions of people all around the world.
At Dream Games, all team members have a genuine chance to contribute to the final product and have an impact on the company. If you want to be a team member of a fast-growing company, you might be the person we are looking for!
Responsibilities
Designing, implementing, and testing game features
Delivering well-structured code and participating in code-review sessions
Creating flexible code that can be easily updated as the product evolves
Contributing to the improvement of user experience in the games
Requirements
Fresh graduate from the field of Computer Science, Computer Engineering, or Software Engineering
Knowledge of Object-Oriented Programming
Interest in Unity and C#
Passion and interest in games
Appreciation and understanding of teamwork
Compensation & Benefits
Monthly net salary is 200.000 TL
Health, dental, and vision insurance with %100 coverage
Relocation support as needed"
